STU,C00.x,C01.x,C02.x,C03.x,C04.x,C05.x,C06.x,C07.x,C08.x,C09.x,C10.x,C11.x,C12.x,C13.x,C14.x,C15.x,C16.x,C17.x,C18.x,C19.x,C20.x,C21.x,C22.x,C23.x,C24.x,C25.x,C26.x,C30.x,C31.x,C32.x,C33.x,C34.x,C37.x,C38.x,C39.x,C40.x,C41.x,C43.x,C45.x,C46.x,C47.x,C48.x,C49.x,C50.x,C51.x,C52.x,C53.x,C54.x,C55.x,C56.x,C57.x,C58.x,C60.x,C61.x,C62.x,C63.x,C64.x,C65.x,C66.x,C67.x,C68.x,C69.x,C70.x,C71.x,C72.x,C73.x,C74.x,C75.x,C76.x,C97.x,C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C30,C31,C32,C33,C34,C37,C38,C39,C40,C41,C43,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C97
RA,L940,L941,L943,M05.x,M06.x,M08.x,M120,M123,M30.x,M310,M311,M312,M313,M32.x,M33.x,M34.x,M35.x,M45.x,M461,M468,M469,M05,M06,M08,M30,M31.0x,M31.1x,M31.2x,M32,M33,M34,M35,M45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coag,D65,D66,D67,D68.x,D691,D693,D694,D695,D696,D65.x,D66.x,D67.x,D68,D691,D69.3x,D69.4x,D69.5x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obe,E66.x,E66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WL,E40.x,E41.x,E42.x,E43.x,E44.x,E45.x,E46.x,R634,R64,E40,E41,E42,E43,E44,E45,E46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FED,E222,E86.x,E87.x,E86,E87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLA,D500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DA,D508,D509,D51.x,D52.x,D53.x,D51,D52,D53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA,F10,E52,G621,I426,K292,K700,K703,K709,T51.x,Z502,Z714,Z721,T51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DrugA,F11.x,F12.x,F13.x,F14.x,F15.x,F16.x,F18.x,F19.x,Z715,Z722,F11,F12,F13,F14,F15,F16,F18,F19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psych,F20.x,F22.x,F23.x,F24.x,F25.x,F28.x,F29.x,F302,F312,F315,F20,F22,F23,F24,F25,F28,F29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dep,F204,F313,F314,F315,F32.x,F33.x,F341,F412,F432,F31.3x,F31.4x,F32,F33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
